Dye/Sample Peak	Sample File Name	Size	Height	Area	Data Point	
"Y,6"	1_5_117_HpyCH4IV_2005-11-28.fsa	597.89	270	4735	9206	
"Y,7"	1_5_117_HpyCH4IV_2005-11-28.fsa	730.18	1717	43780	10434	
"B,8"	1_5_118_BsuRI_2005-11-14.fsa	735.08	4593	102443	10411	
"B,9"	1_5_118_BsuRI_2005-11-14.fsa	824.31	50	238	11125	
"B,10"	1_5_118_BsuRI_2005-11-14.fsa	824.96	65	276	11130	
"B,11"	1_5_118_BsuRI_2005-11-14.fsa	825.76	72	512	11136	
"B,12"	1_5_118_BsuRI_2005-11-14.fsa	826.42	86	372	11141	
"B,13"	1_5_118_BsuRI_2005-11-14.fsa	829.46	380	4834	11164	
"B,14"	1_5_118_BsuRI_2005-11-14.fsa	829.86	404	4748	11167	
"B,15"	1_5_118_BsuRI_2005-11-14.fsa	831.72	306	1376	11181	
"B,16"	1_5_118_BsuRI_2005-11-14.fsa	832.25	344	1881	11185	
"B,17"	1_5_118_BsuRI_2005-11-14.fsa	833.32	410	3014	11193	
"B,18"	1_5_118_BsuRI_2005-11-14.fsa	834.79	659	9863	11204	
"B,19"	1_5_118_BsuRI_2005-11-14.fsa	840.27	5767	154641	11245	
"B,11"	1_5_118_HpyCH4IV_2005-11-14.fsa	735.55	7706	224606	10997	
"Y,2"	1_5_118_BsuRI_2005-11-14.fsa	83.96	113	754	3139	
"Y,3"	1_5_118_BsuRI_2005-11-14.fsa	730.19	2283	49326	10369	
"G,1"	1_5_118_BsuRI_2005-11-14.fsa	828.53	60	379	11157	
"Y,4"	1_5_118_BsuRI_2005-11-14.fsa	828.93	135	1106	11160	
"G,2"	1_5_118_BsuRI_2005-11-14.fsa	829.33	104	569	11163	
"Y,5"	1_5_118_BsuRI_2005-11-14.fsa	829.46	154	718	11164	
"G,3"	1_5_118_BsuRI_2005-11-14.fsa	829.86	113	476	11167	
"Y,6"	1_5_118_BsuRI_2005-11-14.fsa	829.86	169	1179	11167	
"G,4"	1_5_118_BsuRI_2005-11-14.fsa	830.39	105	610	11171	
"Y,7"	1_5_118_BsuRI_2005-11-14.fsa	830.66	133	941	11173	
"G,5"	1_5_118_BsuRI_2005-11-14.fsa	831.19	98	421	11177	
"Y,8"	1_5_118_BsuRI_2005-11-14.fsa	831.72	135	590	11181	
"G,6"	1_5_118_BsuRI_2005-11-14.fsa	831.85	95	431	11182	
"G,7"	1_5_118_BsuRI_2005-11-14.fsa	832.39	120	521	11186	
"Y,9"	1_5_118_BsuRI_2005-11-14.fsa	832.39	148	803	11186	
"G,8"	1_5_118_BsuRI_2005-11-14.fsa	833.05	145	732	11191	
"Y,10"	1_5_118_BsuRI_2005-11-14.fsa	833.32	187	1508	11193	
"G,9"	1_5_118_BsuRI_2005-11-14.fsa	834.92	287	4530	11205	
"Y,11"	1_5_118_BsuRI_2005-11-14.fsa	835.05	329	4653	11206	
"G,10"	1_5_118_BsuRI_2005-11-14.fsa	836.12	245	934	11214	
"G,11"	1_5_118_BsuRI_2005-11-14.fsa	839.6	2894	45552	11240	
"Y,12"	1_5_118_BsuRI_2005-11-14.fsa	839.6	3234	57726	11240	
"G,12"	1_5_118_BsuRI_2005-11-14.fsa	840.95	3047	44919	11250	
"Y,13"	1_5_118_BsuRI_2005-11-14.fsa	841.08	3332	41910	11251	
"Y,14"	1_5_118_BsuRI_2005-11-14.fsa	846.48	90	551	11291	
"G,13"	1_5_118_BsuRI_2005-11-14.fsa	847.02	101	1619	11295	
"Y,15"	1_5_118_BsuRI_2005-11-14.fsa	847.15	84	1580	11296	
"G,14"	1_5_118_BsuRI_2005-11-14.fsa	849.59	52	480	11314	
"Y,4"	1_5_118_HpyCH4IV_2005-11-14.fsa	730.95	3912	98547	10952	
"G,3"	1_5_118_HpyCH4IV_2005-11-14.fsa	735.76	560	3207	10999	
"B,4"	4_21_125_BsuRI_2005-09-16.fsa	84.69	216	1652	3064	
"B,5"	4_21_125_BsuRI_2005-09-16.fsa	91.88	7882	92292	3163	
"B,2"	4_21_125_HpyCH4IV_2005-11-28.fsa	200.38	8428	125676	4715	
"G,2"	4_21_125_BsuRI_2005-09-16.fsa	91.95	2321	7440	3164	
"Y,1"	4_21_125_BsuRI_2005-09-16.fsa	92.1	1429	3920	3166	
"G,3"	4_21_125_BsuRI_2005-09-16.fsa	92.25	2434	9030	3168	
"G,4"	4_21_125_BsuRI_2005-09-16.fsa	221.05	127	860	4837	
"Y,2"	4_21_125_BsuRI_2005-09-16.fsa	221.45	7127	67113	4842	
"Y,2"	4_21_125_HpyCH4IV_2005-11-28.fsa	53.67	3490	32562	2715	
"Y,3"	4_21_125_HpyCH4IV_2005-11-28.fsa	200.38	2749	13150	4715	
"Y,4"	4_21_125_HpyCH4IV_2005-11-28.fsa	499.82	104	1260	8326	
"Y,5"	4_21_125_HpyCH4IV_2005-11-28.fsa	501.89	282	4402	8349	
"B,2"	4_21_126_BsuRI_2005-11-14.fsa	91.95	7767	74620	3235	
"B,3"	4_21_126_BsuRI_2005-11-14.fsa	169.29	396	3158	4257	
"B,4"	4_21_126_BsuRI_2005-11-14.fsa	393.99	125	1046	6995	
"B,5"	4_21_126_BsuRI_2005-11-14.fsa	488	65	923	8028	
"B,2"	4_21_126_HpyCH4IV_2005-11-14.fsa	200.53	8419	126482	4731	
"B,3"	4_21_126_HpyCH4IV_2005-11-14.fsa	203.18	95	731	4766	
"B,4"	4_21_126_HpyCH4IV_2005-11-14.fsa	619.93	279	4124	9806	
"B,5"	4_21_126_HpyCH4IV_2005-11-14.fsa	653.22	238	5816	10157	
"G,1"	4_21_126_BsuRI_2005-11-14.fsa	92.02	1016	2910	3236	
"Y,2"	4_21_126_BsuRI_2005-11-14.fsa	219.57	255	2686	4893	
"G,2"	4_21_126_BsuRI_2005-11-14.fsa	220.99	60	400	4911	
"Y,3"	4_21_126_BsuRI_2005-11-14.fsa	221.23	4345	44144	4914	
"G,1"	4_21_126_HpyCH4IV_2005-11-14.fsa	52.2	80	400	2715	
"Y,2"	4_21_126_HpyCH4IV_2005-11-14.fsa	52.55	6342	59519	2720	
"Y,3"	4_21_126_HpyCH4IV_2005-11-14.fsa	85.86	630	5531	3192	
"G,2"	4_21_126_HpyCH4IV_2005-11-14.fsa	200.3	1981	6987	4728	
"Y,4"	4_21_126_HpyCH4IV_2005-11-14.fsa	200.53	2466	11261	4731	
"G,3"	4_21_126_HpyCH4IV_2005-11-14.fsa	200.76	2121	8455	4734	
"Y,5"	4_21_126_HpyCH4IV_2005-11-14.fsa	500	71	936	8465	
"Y,6"	4_21_126_HpyCH4IV_2005-11-14.fsa	502.15	145	2199	8490	
"B,8"	4_21_134_BsuRI_2005-09-16.fsa	394.14	7627	92545	6920	
"B,2"	4_21_134_HpyCH4IV_2005-11-28.fsa	619.07	3988	79047	9546	
"G,2"	4_21_134_BsuRI_2005-09-16.fsa	219.43	59	321	4822	
"Y,3"	4_21_134_BsuRI_2005-09-16.fsa	219.82	4149	37710	4827	
"Y,4"	4_21_134_BsuRI_2005-09-16.fsa	311.7	70	458	5957	
"G,3"	4_21_134_BsuRI_2005-09-16.fsa	394.23	428	1228	6921	
"G,4"	4_21_134_BsuRI_2005-09-16.fsa	394.58	125	856	6925	
"Y,2"	4_21_134_HpyCH4IV_2005-11-28.fsa	85.7	1431	12556	3229	
"B,8"	4_21_135_BsuRI_2005-11-14.fsa	393.85	7778	115491	7104	
"B,4"	4_21_135_HpyCH4IV_2005-11-14.fsa	76.16	226	1460	3100	
"B,5"	4_21_135_HpyCH4IV_2005-11-14.fsa	220.81	155	988	5074	
"B,6"	4_21_135_HpyCH4IV_2005-11-14.fsa	619.17	7862	74181	9951	
"B,7"	4_21_135_HpyCH4IV_2005-11-14.fsa	619.72	7989	85950	9957	
"B,8"	4_21_135_HpyCH4IV_2005-11-14.fsa	620.45	7632	71420	9965	
"G,1"	4_21_135_BsuRI_2005-11-14.fsa	219.19	79	571	4959	
"Y,2"	4_21_135_BsuRI_2005-11-14.fsa	219.57	3938	38867	4964	
"G,2"	4_21_135_BsuRI_2005-11-14.fsa	394.02	1622	8017	7106	
"G,1"	4_21_135_HpyCH4IV_2005-11-14.fsa	85.6	134	771	3237	
"G,2"	4_21_135_HpyCH4IV_2005-11-14.fsa	85.81	201	404	3240	
"Y,2"	4_21_135_HpyCH4IV_2005-11-14.fsa	85.81	7489	71438	3240	
"Y,3"	4_21_135_HpyCH4IV_2005-11-14.fsa	216.04	124	850	5010	
"G,3"	4_21_135_HpyCH4IV_2005-11-14.fsa	619.35	2076	14268	9953	
"Y,4"	4_21_135_HpyCH4IV_2005-11-14.fsa	619.81	1644	11747	9958	
"G,4"	4_21_135_HpyCH4IV_2005-11-14.fsa	620.27	2253	15618	9963	
"B,2"	4_21_141_BsuRI_2005-11-14.fsa	239.78	7757	81827	5200	
"B,3"	4_21_141_BsuRI_2005-11-14.fsa	505.18	63	392	8266	
"B,3"	4_21_141_HpyCH4IV_2005-11-14.fsa	220.46	8999	129100	4918	
"G,1"	4_21_141_BsuRI_2005-11-14.fsa	127.75	59	332	3757	
"Y,2"	4_21_141_BsuRI_2005-11-14.fsa	128.05	3607	31786	3761	
"Y,3"	4_21_141_BsuRI_2005-11-14.fsa	217.19	139	1134	4913	
"G,2"	4_21_141_BsuRI_2005-11-14.fsa	239.86	805	2130	5201	
"G,3"	4_21_141_BsuRI_2005-11-14.fsa	240.41	221	1834	5208	
"Y,4"	4_21_141_BsuRI_2005-11-14.fsa	480.28	63	701	7997	
"G,2"	4_21_141_HpyCH4IV_2005-11-14.fsa	188.63	99	579	4518	
"Y,2"	4_21_141_HpyCH4IV_2005-11-14.fsa	188.87	6758	64517	4521	
"G,3"	4_21_141_HpyCH4IV_2005-11-14.fsa	220.14	1842	4218	4914	
"Y,3"	4_21_141_HpyCH4IV_2005-11-14.fsa	220.46	3756	22061	4918	
"G,4"	4_21_141_HpyCH4IV_2005-11-14.fsa	220.78	2205	8702	4922	
"Y,4"	4_21_141_HpyCH4IV_2005-11-14.fsa	496.18	2069	29826	8096	
"B,5"	7_33_172_BsuRI_2005-09-16.fsa	90.27	4020	33729	3175	
"B,6"	7_33_172_BsuRI_2005-09-16.fsa	147.63	244	1633	3938	
"B,7"	7_33_172_BsuRI_2005-09-16.fsa	551.57	2848	40112	8656	
"B,8"	7_33_172_BsuRI_2005-09-16.fsa	640.41	82	905	9530	
"B,9"	7_33_172_BsuRI_2005-09-16.fsa	640.84	80	639	9534	
"B,2"	7_33_172_HpyCH4IV_2005-11-28.fsa	111.88	1727	15978	3607	
"B,3"	7_33_172_HpyCH4IV_2005-11-28.fsa	663.19	496	11167	10059	
"G,2"	7_33_172_BsuRI_2005-09-16.fsa	90.34	66	364	3176	
"Y,2"	7_33_172_BsuRI_2005-09-16.fsa	106.05	1576	13702	3388	
"G,3"	7_33_172_BsuRI_2005-09-16.fsa	125.53	60	60	3646	
"Y,3"	7_33_172_BsuRI_2005-09-16.fsa	156.78	138	901	4056	
"Y,4"	7_33_172_BsuRI_2005-09-16.fsa	480.64	1398	20001	7907	
"Y,5"	7_33_172_BsuRI_2005-09-16.fsa	662.7	132	1581	9736	
"Y,2"	7_33_172_HpyCH4IV_2005-11-28.fsa	522.03	277	5075	8614	
"Y,3"	7_33_172_HpyCH4IV_2005-11-28.fsa	662.45	280	5974	10052	
"B,2"	7_33_173_BsuRI_2005-11-14.fsa	90.3	1592	12984	3242	
"B,3"	7_33_173_BsuRI_2005-11-14.fsa	147.59	181	1167	4016	
"B,3"	7_33_173_HpyCH4IV_2005-11-14.fsa	79.21	339	2198	3064	
"B,4"	7_33_173_HpyCH4IV_2005-11-14.fsa	109.02	140	848	3473	
"B,5"	7_33_173_HpyCH4IV_2005-11-14.fsa	111.87	2094	17070	3511	
"Y,2"	7_33_173_BsuRI_2005-11-14.fsa	156.68	154	1324	4135	
"Y,3"	7_33_173_BsuRI_2005-11-14.fsa	480.54	511	8063	8012	
"Y,2"	7_33_173_HpyCH4IV_2005-11-14.fsa	511.33	165	1979	8290	
"Y,3"	7_33_173_HpyCH4IV_2005-11-14.fsa	522.11	625	9489	8403	
"B,10"	1_6_182_BsuRI_2005-09-16.fsa	83.39	3665	30681	3083	
"B,11"	1_6_182_BsuRI_2005-09-16.fsa	122.05	105	884	3606	
"B,12"	1_6_182_BsuRI_2005-09-16.fsa	130.79	4882	43538	3723	
"B,13"	1_6_182_BsuRI_2005-09-16.fsa	132.43	7804	86600	3745	
"B,14"	1_6_182_BsuRI_2005-09-16.fsa	138.92	76	524	3832	
"B,15"	1_6_182_BsuRI_2005-09-16.fsa	153.62	103	665	4027	
"B,16"	1_6_182_BsuRI_2005-09-16.fsa	170.83	139	849	4249	
"B,17"	1_6_182_BsuRI_2005-09-16.fsa	231.22	3206	31350	5020	
"B,18"	1_6_182_BsuRI_2005-09-16.fsa	232.24	3254	30737	5033	
"B,19"	1_6_182_BsuRI_2005-09-16.fsa	235.46	200	1616	5074	
"B,20"	1_6_182_BsuRI_2005-09-16.fsa	414.26	304	3199	7246	
"B,21"	1_6_182_BsuRI_2005-09-16.fsa	456.81	217	2054	7727	
"B,22"	1_6_182_BsuRI_2005-09-16.fsa	469.5	145	1277	7861	
"B,23"	1_6_182_BsuRI_2005-09-16.fsa	543.35	616	8459	8665	
"B,24"	1_6_182_BsuRI_2005-09-16.fsa	597.32	177	2125	9222	
"B,5"	1_6_182_HpyCH4IV_2005-11-28.fsa	104.89	681	5810	3576	
"B,6"	1_6_182_HpyCH4IV_2005-11-28.fsa	589.52	3817	119350	9804	
"B,7"	1_6_182_HpyCH4IV_2005-11-28.fsa	593.53	91	411	9850	
"B,8"	1_6_182_HpyCH4IV_2005-11-28.fsa	597.11	1611	48877	9891	
"B,9"	1_6_182_HpyCH4IV_2005-11-28.fsa	613.88	2211	67403	10082	
"B,10"	1_6_182_HpyCH4IV_2005-11-28.fsa	624.81	1423	40207	10205	
"Y,2"	1_6_182_BsuRI_2005-09-16.fsa	80.13	60	330	3037	
"G,2"	1_6_182_BsuRI_2005-09-16.fsa	83.53	68	443	3085	
"Y,3"	1_6_182_BsuRI_2005-09-16.fsa	89.41	1850	15442	3167	
"Y,4"	1_6_182_BsuRI_2005-09-16.fsa	94.49	421	3240	3237	
"G,3"	1_6_182_BsuRI_2005-09-16.fsa	124.47	71	439	3638	
"Y,5"	1_6_182_BsuRI_2005-09-16.fsa	124.85	5213	45112	3643	
"Y,6"	1_6_182_BsuRI_2005-09-16.fsa	126.11	106	711	3660	
"G,4"	1_6_182_BsuRI_2005-09-16.fsa	130.87	97	581	3724	
"G,5"	1_6_182_BsuRI_2005-09-16.fsa	132.58	2235	9461	3747	
"Y,7"	1_6_182_BsuRI_2005-09-16.fsa	162.59	60	377	4143	
"Y,8"	1_6_182_BsuRI_2005-09-16.fsa	197.94	2715	23859	4594	
"G,6"	1_6_182_BsuRI_2005-09-16.fsa	232.24	59	428	5033	
"Y,9"	1_6_182_BsuRI_2005-09-16.fsa	433.43	141	1321	7468	
"Y,10"	1_6_182_BsuRI_2005-09-16.fsa	438.79	227	2295	7529	
"Y,11"	1_6_182_BsuRI_2005-09-16.fsa	461.83	1827	22938	7780	
"Y,12"	1_6_182_BsuRI_2005-09-16.fsa	598.61	158	1854	9235	
"Y,2"	1_6_182_HpyCH4IV_2005-11-28.fsa	78.42	250	2016	3193	
"Y,3"	1_6_182_HpyCH4IV_2005-11-28.fsa	107.02	1840	17232	3606	
"Y,4"	1_6_182_HpyCH4IV_2005-11-28.fsa	585.96	1817	51318	9763	
"Y,5"	1_6_182_HpyCH4IV_2005-11-28.fsa	592.31	103	2004	9836	
"Y,6"	1_6_182_HpyCH4IV_2005-11-28.fsa	598.07	798	21936	9902	
"Y,7"	1_6_182_HpyCH4IV_2005-11-28.fsa	623.65	677	18277	10192	
"B,2"	1_6_183_BsuRI_2005-11-14.fsa	83.4	467	3159	3128	
"B,3"	1_6_183_BsuRI_2005-11-14.fsa	130.76	432	3401	3769	
"B,4"	1_6_183_BsuRI_2005-11-14.fsa	132.56	5276	50906	3793	
"B,5"	1_6_183_BsuRI_2005-11-14.fsa	231.08	436	4180	5052	
"B,6"	1_6_183_BsuRI_2005-11-14.fsa	232.03	448	3908	5064	
"B,7"	1_6_183_BsuRI_2005-11-14.fsa	543.56	409	5391	8594	
"B,3"	1_6_183_HpyCH4IV_2005-11-14.fsa	104.94	1594	13441	3398	
"B,4"	1_6_183_HpyCH4IV_2005-11-14.fsa	231.13	147	2065	5020	
"B,5"	1_6_183_HpyCH4IV_2005-11-14.fsa	232	63	370	5031	
"B,6"	1_6_183_HpyCH4IV_2005-11-14.fsa	590.03	4037	119353	9019	
"B,7"	1_6_183_HpyCH4IV_2005-11-14.fsa	594.24	271	3025	9060	
"B,8"	1_6_183_HpyCH4IV_2005-11-14.fsa	597.22	466	10146	9089	
"B,9"	1_6_183_HpyCH4IV_2005-11-14.fsa	613.8	876	18433	9249	
"B,10"	1_6_183_HpyCH4IV_2005-11-14.fsa	624.96	485	8421	9355	
"Y,2"	1_6_183_BsuRI_2005-11-14.fsa	89.33	272	1972	3211	
"Y,3"	1_6_183_BsuRI_2005-11-14.fsa	94.46	264	1908	3282	
"Y,4"	1_6_183_BsuRI_2005-11-14.fsa	124.62	1193	10442	3687	
"Y,5"	1_6_183_BsuRI_2005-11-14.fsa	125.9	1524	13632	3704	
"G,1"	1_6_183_BsuRI_2005-11-14.fsa	132.93	58	362	3798	
"Y,6"	1_6_183_BsuRI_2005-11-14.fsa	197.76	361	2984	4631	
"Y,7"	1_6_183_BsuRI_2005-11-14.fsa	461.79	113	1106	7742	
"Y,2"	1_6_183_HpyCH4IV_2005-11-14.fsa	78.39	541	4437	3034	
